berita;ringkasan;url
Kebijakan buka tutup sejumlah gerbang tol dalam masa uji coba rekayasa lalu lintas menjelang Asian Games 2018 mulai diterapkan. ;Kebijakan buka tutup gerbang tol mulai diterapkan.;https://www.cnnindonesia.com/nasional/20180801181551-20-318756/waktu-buka-tutup-pintu-tol-jelang-asian-games-dipangkas
Namun, kalangan pengusaha dan pelaku bisnis jasa logistik meminta waktu penutupan itu dipangkas karena akan berdampak buruk terhadap kelancaran arus pengiriman barang.;Pengusaha dan pelaku bisnis jasa logistik meminta waktu penutupan dipangkas.;https://www.cnnindonesia.com/nasional/20180801181551-20-318756/waktu-buka-tutup-pintu-tol-jelang-asian-games-dipangkas
Bambang Prihartono mengatakan truk logistik memiliki batas waktu tertentu untuk mengantar barang yang dibawanya ke perusahaan. ;Truk logistik memiliki batas waktu untuk mengantar barang.;https://www.cnnindonesia.com/nasional/20180801181551-20-318756/waktu-buka-tutup-pintu-tol-jelang-asian-games-dipangkas
Maka dari itu, kata Bambang, pintu tol yang akan ditutup nantinya hanya berlangsung dari pukul 06.00 WIB sampai 19.00 WIB.;Pintu tol ditutup dari pukul 06.00 sampai 19.00 WIB.;https://www.cnnindonesia.com/nasional/20180801181551-20-318756/waktu-buka-tutup-pintu-tol-jelang-asian-games-dipangkas
Bambang mengatakan pengusaha mengeluhkan penutupan tol yang terlampau lama bisa merugikan pengiriman logistik.;Pengusaha mengeluhkan penutupan tol yang lama.;https://www.cnnindonesia.com/nasional/20180801181551-20-318756/waktu-buka-tutup-pintu-tol-jelang-asian-games-dipangkas
Menurut Bambang, pengurangan waktu tutup tol di malam hari tidak akan mempengaruhi waktu tempuh kepulangan para atlet menuju Wisma Atlet di Kemayoran, Jakarta Pusat.;Pengurangan waktu tidak mempengaruhi waktu tempuh atlet.;https://www.cnnindonesia.com/nasional/20180801181551-20-318756/waktu-buka-tutup-pintu-tol-jelang-asian-games-dipangkas
Dari hasil simulasi terakhir yang telah dilakukan bersama Direktorat Lalu Lintas Polda Metro Jaya dan Dinas Perhubungan DKI Jakarta, dia menyatakan telah memenuhi target waktu tempuh yang ditentukan oleh INASGOC.;Dari hasil simulasi terakhir dinyatakan telah memenuhi target waktu tempuh.;https://www.cnnindonesia.com/nasional/20180801181551-20-318756/waktu-buka-tutup-pintu-tol-jelang-asian-games-dipangkas
Dari hasil simulasi perencanaan untuk menutup 19 pintu tol pun urung dilakukan.;Penutupan 19 pintu tol urung dilakukan.;https://www.cnnindonesia.com/nasional/20180801181551-20-318756/waktu-buka-tutup-pintu-tol-jelang-asian-games-dipangkas
Penutupan pintu tol hanya diterapkan pada tujuh lokasi, yang terbagi dari empat pintu tol keberangkatan dan tiga pintu tol kepulangan atlet menuju Wisma Atlet di Kemayoran.;Penutupan pintu tol diterapkan pada tujuh lokasi.;https://www.cnnindonesia.com/nasional/20180801181551-20-318756/waktu-buka-tutup-pintu-tol-jelang-asian-games-dipangkas
Direktur Lalu Lintas Polda Metro Jaya Kombes Yusuf mengaku akan mengantisipasi penggunaan pelat nomor kendaraan palsu yang hendak mengakali sistem ganjil-genap.;Antisipasi penggunaan pelat nomor palsu yang mengakali ganjil-genap.;https://www.cnnindonesia.com/nasional/20180801163921-20-318709/kepolisian-antisipasi-pelat-nomor-palsu-di-area-ganjil-genap
Penindakan tilang di perluasan sistem ganjil-genap di jalan Gatot Subroto menuju Kuningan diwarnai dengan penilangan puluhan mobil sejak operasi polisi yang dilakukan, pada Selasa (1/8) pukul 06.00 WIB.;Penilangan mobil di perluasan sistem ganjil-genap jalan Gatot Subroto.;https://www.cnnindonesia.com/nasional/20180801163921-20-318709/kepolisian-antisipasi-pelat-nomor-palsu-di-area-ganjil-genap
Pemerintah melakukan sejumlah cara untuk memenuhi target waktu tempuh atlet Asian Games menuju venue yang dipatok tak boleh lebih dari 34 menit.;Sejumlah cara dilakukan untuk memenuhi target waktu tempuh.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Di Jakarta, salah satu cara yang dilakukan adalah melaksanakan sistem buka tutup di sejumlah pintu tol.;Pelaksanaan sistem buka tutup di pintu tol.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Rute simulasi yang diikuti adalah dari Wisma Atlet Kemayoran menuju Taman Mini Indonesia Indah, Jakarta Timur, tepatnya Theater Garuda yang jadi venue pertandingan Kabaddi.;Rute simulasi dari Wisma Atlet Kemayoran menuju Theater Garuda.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Bus Transjakarta yang dikhususkan untuk atlet Asian Games berjalan dengan kawalan enam motor pengawal dan dua mobil pengawal menuju GT Ancol Timur sebelum menuju TMII.;Bus Transjakarta khusus atlet Asian Games dikawal menuju GT Ancol.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Arus lalu lintas dari Wisma Atlet menuju GT Ancol tak sepadat seperti hari-hari normal. CNNIndonesia.com tak menemukan titik-titik kemacetan yang membuat laju bus tersendat atau berhenti.;Titik-titik kemacetan tidak ditemukan.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Lengangnya arus lalu lintas ini salah satunya disebabkan oleh sterilisasi yang dilakukan polisi di sejumlah jalur yang dilintasi bus atlet. ;Lengangnya arus lalu lintas disebabkan sterilisasi.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Selain itu kebijakan ganjil-genap di sejumlah ruas sekitar Wisma Atlet turut membuat arus lalu lintas lancar.;Kebijakan ganjil-genap membuat arus lalu lintas lancar.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Di kawasan Kemayoran, ganjil-genap diberlakukan di ruas Jalan Benyamin Sueb terhitung dari pukul 06.00-21.00 WIB.;Pemberlakuan ganjil-genap di Jalan Benyamin Sueb.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Tanpa kendala berarti bus pun dapat mencapai GT Ancol Timur dengan waktu relatif cepat. Waktu tempuhnya hanya sekitar 3 menit dengan kecepatan rata-rata 80 kilometer per jam.;Bus mencapai GT Ancol Timur dengan waktu 3 menit.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Di gerbang pintu tol bus pengangkut atlet tak lagi mengantre karena sebelum kedatangan pihak tol telah lebih dulu menutup pintu tol.;Bus pengangkut atlet tak lagi mengantre.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Begitu mobil keluar dari tol TMII, sejumlah polisi dan satpol PP pun telihat berjaga supaya tidak ada kendaraan lain yang melintas.;Polisi dan satpol PP berjaga di tol TMII.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Namun penghitungan waktu tempuh dari Wisma Atlet Kemayoran baru dihentikan saat bus Transjakarta berhenti di depan Theatre Garuda.;Perhitungan waktu tempuh bus.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Di lokasi itu bus berhenti pukul 09.33 WIB. Artinya, hanya butuh waktu tempuh 30 menit bagi para atlet dari Wisma Atlet menuju Theatre Garuda TMII.;Bus butuh waktu tempuh 30 menit.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Saat simulasi pulang, bus pengangkut atlet masuk ke gerbang tol Dukuh 1 melintasi gerbang tol Cililitan, Jagorawi kemudian Cawang Inter Change, melintasi Wiyoto Wiyono, dan keluar di Ancol Timur.;Simulasi pulang bus pengangkut atlet.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Terlepas dari simulasi waktu tempuh yang terbilang lancar, antrean panjang hampir mencapai satu kilometer terjadi di jalan arteri dekat Stasiun Ancol akibat penutupan pintu tol. ;Antrian panjang satu kilometer akibat penutupan tol.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Terlihat sejumlah pengendara mobil turun ke jalan dengan pintu pengemudi yang terbuka. Mereka tampak bosan menunggu kemacetan terurai.;Pengendara mobil bosan menunggu kemacetan.;https://www.cnnindonesia.com/nasional/20180801141144-20-318693/menjajal-waktu-tempuh-30-menit-menuju-venue-asian-games
Direktorat Jenderal Lalu Lintas Polda Metro Jaya mulai melakukan penindakan pidana ringan kepada pelanggar aturan perluasan ganjil genap di Jakarta per Rabu (1/8) ini. ;Penindakan kepada pelanggar aturan ganjil genap mulai dilakukan.;https://www.cnnindonesia.com/nasional/20180801131648-20-318615/langgar-ganjil-genap-pengendara-bisa-didenda-rp500-ribu
Penilangan itu berdasarkan Peraturan Gubernur (Pergub) Nomor 77 tahun 2018 tentang perluasan sistem ganjil genap selama Asian Games 2018.;Penilangan berdasarkan Pergub Nomor 77 tahun 2018.;https://www.cnnindonesia.com/nasional/20180801131648-20-318615/langgar-ganjil-genap-pengendara-bisa-didenda-rp500-ribu
Deputi II Chef de Mission (CdM) Kontingen Indonesia untuk Asian Games 2018, Irjen Pol Royke Lumowa mengungkap bahwa pelanggar akan didenda maksimal Rp500.000. Jika tak sanggup membayar, pelanggar akan dihukum kurungan dua bulan.;Pelanggar didenda maksimal Rp500.000 atau kurungan dua bulan.;https://www.cnnindonesia.com/nasional/20180801131648-20-318615/langgar-ganjil-genap-pengendara-bisa-didenda-rp500-ribu
Aturan ganjil genap diperluas dari semula hanya di Jalan M.H. Thamrin, Jalan Jenderal Sudirman, Jalan Gatot Subroto, kini sampai Jalan Benyamin Sueb, Jalan Ahmad Yani, Jalan D.I. Panjaitan, Jalan S Parman, Jalan Rasuna Said, Jalan MT Haryono, dan Jalan Metro Pondok Indah.;Aturan ganjil genap diperluas.;https://www.cnnindonesia.com/nasional/20180801131648-20-318615/langgar-ganjil-genap-pengendara-bisa-didenda-rp500-ribu
Penindakan dengan denda atau kurungan ringan ini dikenakan setelah sosialisasi dilakukan sejak 1 Juli 2018 lalu. ;Penindakan dikenakan setelah sosialisasi dilakukan.;https://www.cnnindonesia.com/nasional/20180801131648-20-318615/langgar-ganjil-genap-pengendara-bisa-didenda-rp500-ribu
Selama sebulan sebelumnya, pengendara masih diberi peringatan atau diarahkan ke ruas jalan lain saat melewati jalan yang terdampak aturan ini.;Sebulan sebelumnya pengendara diberi peringatan.;https://www.cnnindonesia.com/nasional/20180801131648-20-318615/langgar-ganjil-genap-pengendara-bisa-didenda-rp500-ribu
Rekayasa jalan dengan penerapan sistem ganjil genap ini ditujukan untuk memperlancar arus lalu lintas selama Asian Games 2018. ;Penerapan sistem ganjil genap ditujukan untuk memperlancar arus lalu lintas.;https://www.cnnindonesia.com/nasional/20180801131648-20-318615/langgar-ganjil-genap-pengendara-bisa-didenda-rp500-ribu
Kebijakan ganjil genap ini diperuntukkan bagi kendaraan pribadi dan berlaku setiap hari Senin-Minggu pukul 06.00-21.00 WIB.;Kebijakan ganjil genap bagi kendaraan pribadi.;https://www.cnnindonesia.com/nasional/20180801131648-20-318615/langgar-ganjil-genap-pengendara-bisa-didenda-rp500-ribu
